Title ,Link ,Tag1,Tag2,Tag3,Artist
Drown,https://www.youtube.com/watch?v=lhinM0cfVFU&ab_channel=WestonEstateVEVO,,,,Weston Estate
Come and Get It,https://www.youtube.com/watch?v=n-D1EB74Ckg&ab_channel=SelenaGomezVEVO,,,,Selena Gomez
"""POP""",https://www.youtube.com/watch?v=f6YDKF0LVWw,,,,NAYEON
Kesariya,https://www.youtube.com/watch?v=BddP6PYo2gs&ab_channel=SonyMusicIndia,,,,Arijit Singh
After like,https://www.youtube.com/watch?v=F0B7HDiY-10,,,,IVE
Pompeii,https://www.youtube.com/watch?v=F90Cw4l-8NY,,,,Bastille
Cups,https://www.youtube.com/watch?v=cmSbXsFE3l8&ab_channel=AnnaKendrickVEVO,,,,Anna Kendrick
Fireflies,https://www.youtube.com/watch?v=psuRGfAaju4&ab_channel=OwlCityVEVO,,,,Owl City
Stargazing,https://www.youtube.com/watch?v=8giBPUpzKRw&ab_channel=TheNeighbourhoodVEVO,,,,The Neighborhood
As it was,https://www.youtube.com/watch?v=H5v3kku4y6Q,,,,Harry Styles
You Need to Calm Down,https://www.youtube.com/watch?v=Dkk9gvTmCXY&ab_channel=TaylorSwiftVEVO,,,,Taylor Swift
I ain't Worried,https://www.youtube.com/watch?v=mNEUkkoUoIA,,,,One Republic
Sunroof,https://www.youtube.com/watch?v=G5xSLbYMr-I,,,,Nicky Youre
Night Changes,https://www.youtube.com/watch?v=syFZfO_wfMQ&ab_channel=OneDirectionVEVO,,,,One Direction
Maniac,https://www.youtube.com/watch?v=-E-_IRJU5w0&ab_channel=ConanGrayVEVO,,,,Conan Gray
Material Girl,https://www.youtube.com/watch?v=6p-lDYPR2P8&ab_channel=Madonna,,,, Madonna
Perfect,https://www.youtube.com/watch?v=2Vv-BfVoq4g,,,,Ed Sheeran
Thinking out Loud,https://www.youtube.com/watch?v=lp-EO5I60KA,,,,Ed Sheeran
Shape of You,https://www.youtube.com/watch?v=JGwWNGJdvx8,,,,Ed Sheeran
See You Again,https://www.youtube.com/watch?v=RgKAFK5djSk,,,,Charlie Puth
Hymn of the Weekend,https://www.youtube.com/watch?v=YykjpeuMNEk,,,,Coldplay
Yellow,https://www.youtube.com/watch?v=yKNxeF4KMsY,,,,Coldplay
A sky full of stars,https://www.youtube.com/watch?v=VPRjCeoBqrI,,,,Coldplay
Hey Jude,https://www.youtube.com/watch?v=A_MjCqQoLLA,,,,Beatles
Don't let me down!,https://www.youtube.com/watch?v=NCtzkaL2t_Y,,,,Beatles
This is America,https://www.youtube.com/watch?v=VYOjWnS4cMY,,,,Childish Gambino
numb,https://www.youtube.com/watch?v=kXYiU_JCYtU,,,,lincoln park
Sugar,https://www.youtube.com/watch?v=09R8_2nJtjg,,,,Maroon 5
Memories,https://www.youtube.com/watch?v=SlPhMPnQ58k,,,,Maroon 5
Moves like Jagger,https://www.youtube.com/watch?v=iEPTlhBmwRg,,,,Maroon 5
Maps,https://www.youtube.com/watch?v=NmugSMBh_iI,,,,Maroon 5
